iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
258	0.01	0.01	0.0699806	0.12707	-58.8883	0.973251
259	0.01	0.01	0.0633278	0.11396	-58.2757	0.989597
260	0.01	0.01	0.0747746	0.111467	-57.3925	0.984844
261	0.01	0.01	0.074884	0.129653	-60.798	1.05934
262	0.01	0.01	0.0590022	0.139176	-60.4386	0.994088
263	0.01	0.01	0.0595927	0.135126	-59.5683	0.985602
264	0.01	0.01	0.0744601	0.133754	-59.8819	1.00526
265	0.01	0.01	0.0740932	0.127091	-59.7736	0.998192
266	0.01	0.01	0.0735639	0.130834	-60.3778	1.01011
267	0.01	0.01	0.0752728	0.143457	-61.0689	1.01145
268	0.01	0.01	0.0712448	0.144606	-61.1403	1.00117
269	0.01	0.01	0.0731505	0.157136	-60.9734	0.997271
270	0.01	0.01	0.0931657	0.150445	-62.0846	1.01822
271	0.01	0.01	0.0931657	0.150445	-62.0846	0.962327
272	0.01	0.01	0.0867696	0.145797	-61.7597	0.994766
273	0.01	0.01	0.0771112	0.148142	-60.9877	0.987501
274	0.01	0.01	0.0922679	0.13232	-60.5974	0.9936
275	0.01	0.01	0.0806507	0.1416	-59.9084	0.988629
276	0.01	0.01	0.0921631	0.151132	-61.6297	1.02873
277	0.01	0.01	0.0943508	0.141087	-60.1219	0.975534
278	0.01	0.01	0.0898555	0.132032	-59.6961	0.992918
279	0.01	0.01	0.0961988	0.143893	-60.3526	1.011
280	0.01	0.01	0.0979152	0.136278	-60.8053	1.0075
281	0.01	0.01	0.0995532	0.126467	-57.8866	0.951999
282	0.01	0.01	0.0879189	0.135788	-59.9509	1.03566
283	0.01	0.01	0.0858885	0.116639	-58.4653	0.97522
284	0.01	0.01	0.0882078	0.0986516	-56.5134	0.966614
285	0.01	0.01	0.0838472	0.111936	-57.3594	1.01497
286	0.01	0.01	0.0780294	0.112107	-57.6819	1.00562
287	0.01	0.01	0.0964551	0.112028	-59.0633	1.02395
288	0.01	0.01	0.0976688	0.114091	-57.5041	0.9736
